1247840658158760000,BimataIndonesia,"Buruh dan UMKM Terkena Dampak Virus Covid-19, Himmatul Aliyah : Kartu Prakerja Solusinya https://t.co/p3Hl9e384V https://t.co/cE8wuPYDqE"
1247840770456834000,BudayaOkan,@HypeMeabiss Tenang negara juga kasih warga miskin ada uang dri pemerintah bantuan  korona perbulan ada juga kartu… https://t.co/OFmL11xI9h
1247840899725283300,mnctrijayafm,Kementerian Keuangan (Kemenkeu) menyampaikan bahwa program Kartu Prakerja bagi masyarakat terdampak virus corona (C… https://t.co/J9ogVr0tEy
1247841142516748300,ambarcalona,"RT @bkdjatengprov: Ada kabar baik nih untuk Konco Naker, membuka pendataan Calon Penerima Kartu Prakerja, untuk kalian yang ter PHK ataupun…"
1247841331881242600,Fariz_tama,"@419Tajul @wawat_kurniawan Keep strong , tenang ada kartu prakerja bagi karyawan yg di PHK atau dirumah kan."
1247841458226262000,hdwi74,RT @mnctrijayafm: Kementerian Keuangan (Kemenkeu) menyampaikan bahwa program Kartu Prakerja bagi masyarakat terdampak virus corona (Covid-1…
1247841706168529000,DisnakerProvsu,Jumlah Usulan Calon Peserta Penerima Kartu Prakerja 08-04-2020 sampai pukul 17.00 WIB. . . #Pemprovsu… https://t.co/zqgHXFMWDu
1247841985404100600,Terasjabar_1,https://t.co/MQmMaIWlKu
1247842437751402500,RinjaniJB,RT @dwiyanaDKM: #CekalCoronaSaveEkonomi  (6)  https://t.co/7GaInfoFy8
1247842717016547300,mahdian_nasti,"bukan untuk kerabat family kan?  Sumut Dapat Jatah 180.000 Peserta Kartu Prakerja, Kuota Medan 35.000 https://t.co/XajpJxeYIt"
1247843641093046300,KompasEkonomi,"Catat, Kartu Prakerja Diprioritaskan untuk Pengangguran Muda https://t.co/S3YIiYv2fg"
1247843864766902300,becak125cc,"RT @ZyeZykia: Bagi teman-teman yang terdampak PHK, silahkan mendaftar program Kartu Pra Kerja. Silahkan Daftar di kantor Tenaga Kerja yang…"
1247843873826713600,simakrl,simak! gapyear bukannya gabisa ikut snmptn ya? bukannya itu cuma bisa diikutin freshgraduate?
1247843976406851600,bahasinrl,brl! gapyear bukannya gabisa ikut snmptn ya? bukannya itu cuma bisa diikutin freshgraduate?
1247844764268945400,FPragusta,RT @disnaker_jateng: Selamat sore konco naker! Bagaimana #selfquarantine nya? Tetap jaga kesehatan ya! — Ada kabar baik nih untuk Konco Nak…
1247845248895561700,PutryAnggraeniP,"RT @DNKI_: ""Kartu Prakerja tuh buat gaji pengangguran ya?""  Ngga gitu gaes! Cari tau manfaat Kartu Pra Kerja di sini:  #KartuPraKerja #keua…"
1247846339116855300,reeekim,RT @simakrl: simak! gapyear bukannya gabisa ikut snmptn ya? bukannya itu cuma bisa diikutin freshgraduate?
1247846345567694800,Hadinug79683093,Pak @aniesbaswedan   Bantuin daftar Kartu Prakerja Donk
1247846377075257300,atritik,"Nama kartu prakerja, tapi didahulukan untuk yang sudah pernah kerja. Yo opo iki pak2. @ganjarpranowo"
1247846604171669500,DavidGentana,"RT @eko_kuntadhi: Bagi mereka yang belum kerja atau korban PHK, monggo mendaftarkan diri untuk mendapat kartu prakerja. Selain ada pelatiha…"
1247846813463265300,medcom_id,Pengemudi Ojek Online Bisa Daftar Kartu Prakerja https://t.co/xTQYdRH1l8 https://t.co/wMi8ZvUmGi
1247846969906794500,perumahandki,"#Repost @Disnaketransdki ・・・ Sehubungan dengan dampak pandemik COVID-19 yang mempengaruhi ekonomi, Pemerintah menge… https://t.co/v0YhEqQBPN"
1247846979985498000,CSISIndonesia,RT @CSISIndonesia: Bagaimana implementasi program kartu prakerja di masa wabah #COVID19?  @drafitrandi (Peneliti Departemen Ekonomi @CSISIn…
1247847117353185300,MrsAmron23,RT @dwiyanaDKM: #CekalCoronaSaveEkonomi  (6)  https://t.co/7GaInfoFy8
1247847132154843100,ahmadyanibs,RT @KemnakerRI: Sejumlah program dan kebijakan juga disiapkan untuk menanggulangi pandemi Covid-19. Diantaranya percepatan pelaksanaan Kart…
1247847308470841300,ipanipunni,"Untuk mengurangi dari dampak PHK yang disebabkan pandemi corona ini, pemerintah merealisasikan kartu prakerja yang… https://t.co/cK64ZxYLGJ"
1247847364762538000,yosaphatrenato,"RT @eko_kuntadhi: Bagi mereka yang belum kerja atau korban PHK, monggo mendaftarkan diri untuk mendapat kartu prakerja. Selain ada pelatiha…"
1247847417157845000,syifaz1995,"RT @Je_Ly: Berita baik aplg bp @ganjarpranowo?  Ini dia😉 U/ yg terdampak Coeoba, diPHK ato dirumahkan,ayo daftar kartu Prakerja.  Ke mana D…"
